name
"Xe dưới 12 ghê ngôi, xe tải có tải trọng dưới 2 tấn; các loại xe buýt vận tải khách công cộng"
Xe từ 12 ghê ngôi đên 30 ghế ngồi; xe tải có tải trọng từ 2 tấn đến dưới 4 tấn
Xe từ 31 ghê ngôi trở lên; xe tải có tải trọng từ 4 tấn đến dưới 10 tấn
Xe tải có tải trọng từ 10 tấn đến dưới 18 tấn; xe chở hàng bằng container 20 fĩt
Xe tải có tải trọng từ 18 tấn trở lên; xe chở hàng bằng container 40 fit
